title,album_artist,artist,genre,composer,album,year,disc_num,track_num
City of Tears,Danilo Ciaffi,"Danilo Ciaffi, PrjzCalavera",Rock,Christopher Larkin,TBA,2020,,
Stickerbush Symphony,PixelMixers,"Danilo Ciaffi, Mark Autumn, Hashel, Lord Bif Music",VGM Cover,David Wise,Donkey Kong Country: Treetop Tunes,2018,1,9
